kingdom	phylum	class	order	family	genus	binomial	statut	category	populationTrend	code	name	Occurs in at least one protected area	Note
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon leucotis	endemic	VU	Decreasing	5.1.3	Sub-national level	YES	
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon leucotis	endemic	VU	Decreasing	1.2	Resource & habitat protection	YES	
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon leucotis	endemic	VU	Decreasing	5.2	Policies and regulations	YES	
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon leucotis	endemic	VU	Decreasing	5.3	Private sector standards & codes	YES	
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon leucotis	endemic	VU	Decreasing	2.3	Habitat & natural process restoration	YES	
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon mackloti	endemic	VU	Decreasing	2.1	Site/area management	NOT_KNOWN	
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Acerodon mackloti	endemic	VU	Decreasing	3.1.1	Harvest management	NOT_KNOWN	
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Acomys	Acomys minous	endemic	DD	Unknown	NA	NA	YES	over entire range
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	CRICETIDAE	Aegialomys	Aegialomys galapagoensis	endemic	VU	Unknown	2.2	Invasive/problematic species control	YES	
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	CRICETIDAE	Aegialomys	Aegialomys galapagoensis	endemic	VU	Unknown	2.1	Site/area management	YES	
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	CRICETIDAE	Aegialomys	Aegialomys galapagoensis	endemic	VU	Unknown	3.2	Species recovery	YES	
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	SCIURIDAE	Aeromys	Aeromys thomasi	endemic	LC	Unknown	2.1	Site/area management	YES	over entire range
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Aethalops	Aethalops aequalis	endemic	LC	Unknown	4.2	Training	YES	over entire range
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Aethalops	Aethalops aequalis	endemic	LC	Unknown	2.1	Site/area management	YES	over entire range
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Aethalops	Aethalops aequalis	endemic	LC	Unknown	4.3	Awareness & communications	YES	over entire range
ANIMALIA	CHORDATA	MAMMALIA	DIPROTODONTIA	PHALANGERIDAE	Ailurops	Ailurops melanotis	endemic	CR	Decreasing	4.3	Awareness & communications	YES	over entire range
ANIMALIA	CHORDATA	MAMMALIA	DIPROTODONTIA	PHALANGERIDAE	Ailurops	Ailurops melanotis	endemic	CR	Decreasing	2.1	Site/area management	YES	over entire range
ANIMALIA	CHORDATA	MAMMALIA	DIPROTODONTIA	PHALANGERIDAE	Ailurops	Ailurops melanotis	endemic	CR	Decreasing	5.4.2	National level	YES	over entire range
ANIMALIA	CHORDATA	MAMMALIA	DIPROTODONTIA	PHALANGERIDAE	Ailurops	Ailurops melanotis	endemic	CR	Decreasing	1.2	Resource & habitat protection	YES	over entire range
ANIMALIA	CHORDATA	MAMMALIA	DIPROTODONTIA	PHALANGERIDAE	Ailurops	Ailurops ursinus	endemic	VU	Decreasing	2.1	Site/area management	YES	over entire range
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Alionycteris	Alionycteris paucidentata	endemic	LC	Stable	2.1	Site/area management	YES	over entire range
ANIMALIA	CHORDATA	MAMMALIA	PRIMATES	CHEIROGALEIDAE	Allocebus	Allocebus trichotis	endemic	EN	Decreasing	2.1	Site/area management	YES	over entire range
ANIMALIA	CHORDATA	MAMMALIA	PRIMATES	CHEIROGALEIDAE	Allocebus	Allocebus trichotis	endemic	EN	Decreasing	3.1.1	Harvest management	YES	over entire range
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Anisomys	Anisomys imitator	endemic	LC	Stable	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Anonymomys	Anonymomys mindorensis	endemic	DD	Unknown	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Anonymomys	Anonymomys mindorensis	endemic	DD	Unknown	1.1	Site/area protection		
ANIMALIA	CHORDATA	MAMMALIA	EULIPOTYPHLA	SORICIDAE	Anourosorex	Anourosorex yamashinai	endemic	LC	Unknown	NA	NA		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Anthops	Anthops ornatus	endemic	VU	Decreasing	1.1	Site/area protection		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Anthops	Anthops ornatus	endemic	VU	Decreasing	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Anthops	Anthops ornatus	endemic	VU	Decreasing	3.2	Species recovery		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Anthops	Anthops ornatus	endemic	VU	Decreasing	4.3	Awareness & communications		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Anthops	Anthops ornatus	endemic	VU	Decreasing	5.1.2	National level		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Anthops	Anthops ornatus	endemic	VU	Decreasing	5.1.3	Sub-national level		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Anthops	Anthops ornatus	endemic	VU	Decreasing	1.2	Resource & habitat protection		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Anthops	Anthops ornatus	endemic	VU	Decreasing	5.2	Policies and regulations		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Anthops	Anthops ornatus	endemic	VU	Decreasing	5.3	Private sector standards & codes		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Anthops	Anthops ornatus	endemic	VU	Decreasing	2.3	Habitat & natural process restoration		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Apodemus	Apodemus argenteus	endemic	LC	Stable	NA	NA		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Apodemus	Apodemus semotus	endemic	LC	Unknown	NA	NA		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Apodemus	Apodemus speciosus	endemic	LC	Stable	NA	NA		
