"ULM_ID" "REGION" "COUNTRYISO" "COUNTRY" "ARCHIP" "ISLAND" "LONG" "LAT" "Area"
11682 "Caribbean Islands" "AIA" "Anguilla" "West Indies" "Anguilla" -63.054398 18.214736 74.93
11733 "Caribbean Islands" "VIR" "Virgin Islands; U.S." "West Indies" "Saint John" -64.736758 18.338353 52.07
11742 "Caribbean Islands" "VIR" "Virgin Islands; U.S." "West Indies" "Saint Thomas" -64.928694 18.343528 76.21
11779 "Caribbean Islands" "VGB" "British Virgin Islands" "West Indies" "Little Wickham's Cay" -64.620064 18.424074 65.17
11790 "Caribbean Islands" "VGB" "British Virgin Islands" "West Indies" "Virgin Gorda" -64.399216 18.475855 23.9
11797 "Caribbean Islands" "PRI" "Puerto Rico" "West Indies" "Island of Puerto Rico" -66.479512 18.224245 8728.54
11801 "Caribbean Islands" "JAM" "Jamaica" "West Indies" "Jamaica" -77.310484 18.157071 10992.98
11857 "Caribbean Islands" "HTI" "Haiti" "West Indies" "Ile de la Gonave" -73.046362 18.842899 686.55
11898 "Caribbean Islands" "CYM" "Cayman Islands" "West Indies" "Grand Cayman" -81.243946 19.318442 202.62
12004 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -77.064699 20.540798 3.07
12006 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -77.066742 20.55201 1.09
12009 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Media Luna" -77.885729 20.569743 2.72
12014 "Mesoamerica and Galapagos Islands" "MEX" "Mexico" "Yucatan Islands" "Isla Cozumel" -86.902482 20.442404 478.55
12054 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Campo Santo" -78.513901 20.619717 7.36
12058 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Caguamas" -78.38353 20.573458 28.46
12063 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.093422 20.624946 2.2
12080 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.381033 20.647592 3.68
12086 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Carabinero" -78.637265 20.653608 15.68
12100 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.095802 20.658448 1.5
12112 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.396982 20.669344 1.92
12119 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.098368 20.67783 1.18
12124 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.364228 20.677177 1.08
12134 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.383539 20.683489 1.9
12149 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Cachiboca" -78.740342 20.685539 4.83
12154 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.5348 20.704188 1.28
12172 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.577717 20.711266 1.35
12173 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.493478 20.704832 4.92
12185 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.425011 20.724645 2.82
12186 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Cotorro" -78.464984 20.722761 1.85
12195 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.369815 20.730853 2.42
12200 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Piedra Chica" -78.784047 20.728234 11.07
12204 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.250288 20.745756 1.05
12217 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.251216 20.757902 1.1
12221 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.236521 20.762179 2.78
12223 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.829742 20.763825 1.92
12224 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.646212 20.75335 5.77
12225 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.497671 20.756708 2.07
12232 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.203574 20.764679 3.69
12236 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.850087 20.772625 2.57
12252 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.234702 20.791841 2.4
12260 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.898921 20.795845 16.94
12261 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Chocolate" -78.630506 20.8302 4.17
12277 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Grande" -79.086302 20.91764 72.24
12285 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -79.296203 21.043366 1.67
12294 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -79.33647 21.059242 1.21
12299 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Algodon Grande" -78.722446 21.100073 4.23
12300 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -79.331599 21.090929 27.45
12301 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Breton" -79.421436 21.112747 8.62
12316 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Puerco" -76.52192 21.230055 1.16
12333 "Mesoamerica and Galapagos Islands" "MEX" "Mexico" NA "Isla Maria Cleofas" -106.248834 21.314174 19.98
12334 "Caribbean Islands" "BHS" "Bahamas" "West Indies" "Great Inagua Island" -73.349683 21.078338 1546.08
12358 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Tio Joaquin" -78.765894 21.419274 2.98
12360 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -76.962223 21.443093 1.3
12362 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Balandras" -78.785037 21.450519 1.78
12373 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Guasimas" -78.827565 21.472957 1.65
12382 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -78.765319 21.480149 1.86
12383 "Mesoamerica and Galapagos Islands" "MEX" "Mexico" NA "Isla Maria Magdalena" -106.424656 21.461566 69.87
12417 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Avalos" -82.171365 21.551592 1.59
12429 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Hicacos" -82.362801 21.564458 3.28
12434 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Matias" -82.43919 21.56532 7.55
12438 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -82.252661 21.578471 2.44
12443 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Campos" -82.300593 21.576545 10.51
12444 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -82.21595 21.580098 3.93
12462 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -81.692007 21.624174 1.58
12476 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -81.600636 21.629817 2.86
12479 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -81.660529 21.630143 1.93
12486 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Cantiles" -82.044192 21.60372 43.57
12491 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Coco" -82.385944 21.615401 12.91
12496 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Campo" -81.801158 21.649062 3.17
12499 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo del Rosario" -81.890174 21.635261 21.9
12518 "Mesoamerica and Galapagos Islands" "MEX" "Mexico" NA "Isla Maria Madre" -106.581687 21.627684 143.8
12520 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo del Pasaje" -81.947566 21.689042 2.95
12526 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Largo" -81.484967 21.634773 48.14
12528 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Divisa" -81.845295 21.693903 2.02
12531 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -82.515411 21.700296 2.48
12538 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Boca de Alonso" -82.462696 21.693114 13.83
12543 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Tablones" -82.07812 21.720635 2.71
12552 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo San Juan" -82.547179 21.729181 10.01
12561 "Mesoamerica and Galapagos Islands" "MEX" "Mexico" NA "Isla San Juanito" -106.67464 21.749952 9.18
12564 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Loquera" -77.450671 21.78564 2.08
12565 "Caribbean Islands" "CUB" "Cuba" "West Indies" NA -82.604633 21.78521 2.51
12571 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Guayabo" -82.602304 21.812313 1.15
12586 "Caribbean Islands" "TCA" "Turks and Caicos Islands" "West Indies" "Middle Caicos" -71.758108 21.775209 301.43
12610 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Cucubao" -77.73833 21.891602 4.49
12616 "Caribbean Islands" "CUB" "Cuba" "West Indies" "Cayo Guajaba" -77.534988 21.853075 109.07
